pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,A1_weighted,A2_weighted,A3_weighted,A4_weighted,perturbation_score,rank
3GT8_raw_PKT16,3GT8_raw,173940,uncertain_mechanism_candidate,low,0.253,0.1136,0.475,0.65,0.0759,0.0284,0.1425,0.0975,0.2668,73
3GT8_raw_PKT16,3GT8_raw,97806,uncertain_mechanism_candidate,low,0.253,0.1136,0.475,0.65,0.0759,0.0284,0.1425,0.0975,0.2668,74
3GT8_raw_PKT16,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1136,0.475,0.65,0.0759,0.0284,0.1425,0.0975,0.2668,75
EGFR_160-185_PKT01,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.2045,0.475,0.65,0.0759,0.0511,0.1425,0.0975,0.2668,76
EGFR_160-185_PKT01,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.2045,0.475,0.65,0.0759,0.0511,0.1425,0.0975,0.2668,77
EGFR_160-185_PKT01,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.2045,0.475,0.65,0.0759,0.0511,0.1425,0.0975,0.2668,78
EGFR_160-185_PKT03,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1802,0.475,0.65,0.0759,0.045,0.1425,0.0975,0.2668,79
EGFR_160-185_PKT03,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1802,0.475,0.65,0.0759,0.045,0.1425,0.0975,0.2668,80
EGFR_160-185_PKT03,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1802,0.475,0.65,0.0759,0.045,0.1425,0.0975,0.2668,81
EGFR_160-185_PKT04,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1673,0.475,0.65,0.0759,0.0418,0.1425,0.0975,0.2668,82
EGFR_160-185_PKT04,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1673,0.475,0.65,0.0759,0.0418,0.1425,0.0975,0.2668,83
EGFR_160-185_PKT04,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1673,0.475,0.65,0.0759,0.0418,0.1425,0.0975,0.2668,84
EGFR_160-185_PKT05,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.161,0.475,0.65,0.0759,0.0403,0.1425,0.0975,0.2668,85
EGFR_160-185_PKT05,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.161,0.475,0.65,0.0759,0.0403,0.1425,0.0975,0.2668,86
EGFR_160-185_PKT05,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.161,0.475,0.65,0.0759,0.0403,0.1425,0.0975,0.2668,87
EGFR_160-185_PKT11,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1439,0.395,0.65,0.0759,0.036,0.1185,0.0975,0.2668,88
EGFR_160-185_PKT11,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1439,0.395,0.65,0.0759,0.036,0.1185,0.0975,0.2668,89
EGFR_160-185_PKT11,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1439,0.395,0.65,0.0759,0.036,0.1185,0.0975,0.2668,90
EGFR_160-185_PKT13,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1421,0.475,0.65,0.0759,0.0355,0.1425,0.0975,0.2668,91
EGFR_160-185_PKT13,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1421,0.385,0.65,0.0759,0.0355,0.1155,0.0975,0.2668,92
EGFR_160-185_PKT13,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1421,0.475,0.65,0.0759,0.0355,0.1425,0.0975,0.2668,93
