rank,pocket_id,receptor_id,ligand_id,mechanistic_class,perturbation_score,adjusted_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,overall_druggability_tier,ligand_support_strength,state_class,accessibility_label,state_caveat
90,EGFR_160-185_PKT11,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1439,0.395,0.65,allosteric_candidate,0,tier_3,moderate,state_shifted_pocket,always_accessible,
91,EGFR_160-185_PKT13,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1421,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
92,EGFR_160-185_PKT13,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1421,0.385,0.65,allosteric_candidate,0,tier_3,moderate,state_shifted_pocket,always_accessible,
93,EGFR_160-185_PKT13,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1421,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
94,EGFR_160-185_PKT19,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1352,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
95,EGFR_160-185_PKT19,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1352,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
96,EGFR_160-185_PKT19,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1352,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
97,EGFR_160-185_PKT30,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1139,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
98,EGFR_160-185_PKT30,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1139,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
99,EGFR_160-185_PKT30,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1139,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
100,EGFR_160-185_PKT37,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1043,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
101,EGFR_160-185_PKT37,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1043,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
102,EGFR_160-185_PKT37,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1043,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
103,EGFR_160-185_PKT38,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1037,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
104,EGFR_160-185_PKT38,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1037,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
105,EGFR_160-185_PKT38,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1037,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
106,EGFR_170-200_PKT01,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.2183,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
107,EGFR_170-200_PKT01,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.2183,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
108,EGFR_170-200_PKT01,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.2183,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
109,EGFR_170-200_PKT04,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1607,0.295,0.65,allosteric_candidate,0,tier_3,weak,state_shifted_pocket,always_accessible,
110,EGFR_170-200_PKT04,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1607,0.295,0.65,allosteric_candidate,0,tier_3,weak,state_shifted_pocket,always_accessible,
111,EGFR_170-200_PKT04,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1607,0.305,0.65,allosteric_candidate,0,tier_3,weak,state_shifted_pocket,always_accessible,
112,EGFR_170-200_PKT05,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1565,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
113,EGFR_170-200_PKT05,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1565,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
114,EGFR_170-200_PKT05,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1565,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
115,EGFR_170-200_PKT15,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1343,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
116,EGFR_170-200_PKT15,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1343,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
117,EGFR_170-200_PKT15,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1343,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
118,EGFR_170-200_PKT25,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1163,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
119,EGFR_170-200_PKT25,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1163,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
120,EGFR_170-200_PKT25,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1163,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
121,EGFR_170-200_PKT31,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.1004,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
122,EGFR_170-200_PKT31,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.1004,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
123,EGFR_170-200_PKT31,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,low,0.253,0.1004,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
124,EGFR_170-200_PKT36,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,low,0.253,0.044,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
125,EGFR_170-200_PKT36,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,low,0.253,0.044,0.475,0.65,allosteric_candidate,0,tier_3,strong,state_shifted_pocket,always_accessible,
