rank,pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,perturbation_score,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,pose_support_count,best_affinity_kcal,state_class,n_states_matched,classification_basis
48,EGFR_160-185_PKT23,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.403,0.2814,0.1289,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
49,EGFR_160-185_PKT23,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.403,0.2814,0.1289,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
50,EGFR_170-200_PKT12,EGFR_170-200,173940,interface_rim_modulator_candidate,low,0.4026,0.2814,0.1391,0.6197,0.65,rim_candidate,1,0.071,tier_3,strong,9,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
51,EGFR_170-200_PKT12,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,low,0.4026,0.2814,0.1391,0.6197,0.65,rim_candidate,1,0.071,tier_3,strong,9,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
52,3GT8_raw_PKT08,3GT8_raw,173940,interface_rim_modulator_candidate,medium,0.4009,0.3062,0.1229,0.6444,0.5667,rim_candidate,2,0.133,tier_3,strong,10,,uncertain_alignment,2,rim_relationship; overlap=2; ligand_support=strong
53,3GT8_raw_PKT14,3GT8_raw,173940,interface_rim_modulator_candidate,low,0.3991,0.2798,0.1151,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
54,3GT8_raw_PKT14,3GT8_raw,97806,interface_rim_modulator_candidate,low,0.3991,0.2798,0.1151,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
55,3GT8_raw_PKT14,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,low,0.3991,0.2798,0.1151,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
56,EGFR_160-185_PKT09,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.3962,0.2814,0.1514,0.6297,0.5667,rim_candidate,1,0.071,tier_3,strong,10,,uncertain_alignment,2,rim_relationship; overlap=1; ligand_support=strong
57,EGFR_160-185_PKT09,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.3962,0.2814,0.1514,0.6297,0.5667,rim_candidate,1,0.071,tier_3,strong,10,,uncertain_alignment,2,rim_relationship; overlap=1; ligand_support=strong
58,3GT8_raw_PKT20,3GT8_raw,173940,interface_rim_modulator_candidate,medium,0.3893,0.3062,0.0965,0.6444,0.5333,rim_candidate,2,0.133,tier_3,strong,10,,state_specific_pocket,1,rim_relationship; overlap=2; ligand_support=strong
59,3GT8_raw_PKT20,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3893,0.3062,0.0965,0.6444,0.5333,rim_candidate,2,0.133,tier_3,strong,10,,state_specific_pocket,1,rim_relationship; overlap=2; ligand_support=strong
60,EGFR_170-200_PKT28,EGFR_170-200,173940,interface_rim_modulator_candidate,medium,0.3885,0.3102,0.1145,0.5644,0.65,rim_candidate,2,0.143,tier_3,moderate,10,,state_shifted_pocket,3,rim_relationship; overlap=2; ligand_support=moderate
61,EGFR_170-200_PKT28,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3885,0.3102,0.1145,0.5644,0.65,rim_candidate,2,0.143,tier_3,moderate,10,,state_shifted_pocket,3,rim_relationship; overlap=2; ligand_support=moderate
62,EGFR_160-185_PKT34,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.3848,0.2814,0.1058,0.6297,0.5667,rim_candidate,1,0.071,tier_3,strong,10,,uncertain_alignment,2,rim_relationship; overlap=1; ligand_support=strong
63,EGFR_160-185_PKT34,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.3848,0.2814,0.1058,0.6297,0.5667,rim_candidate,1,0.071,tier_3,strong,10,,uncertain_alignment,2,rim_relationship; overlap=1; ligand_support=strong
64,3GT8_raw_PKT08,3GT8_raw,97806,interface_rim_modulator_candidate,medium,0.3769,0.3062,0.1229,0.5644,0.5667,rim_candidate,2,0.133,tier_3,moderate,10,,uncertain_alignment,2,rim_relationship; overlap=2; ligand_support=moderate
