id,dG_separated,L_RMSD,L_RMSD_best,dSASA
3676,-6.631715931804138,78.2063313414695,35.3521663044241,757.8996012180854
3728,-4.9951637476660835,86.37983350290837,21.20343292878209,501.9476481895342
3762,-6.2405265046045315,91.23364648954009,7.81720613341164,616.405766515924
3757,-6.158104159213053,83.74039133080454,30.409712440849596,613.8149222040747
3823,-6.80896193621129,95.16343272368763,18.617871429311307,546.5379016959029
3810,-9.136644421444544,92.03866284235247,17.474491192749184,888.2805289648348
3827,-8.111221631924764,85.38640620333425,15.489796850431828,500.7393063277559
3855,-6.877924258036728,90.81067566089294,24.283670821071542,649.5209766396392
3888,-5.315219359445109,76.86857295911035,34.58203868742246,359.3325519197406
3892,-6.840631802120242,88.11389296820681,24.679865579319742,715.2488816888356
3913,-12.858118248000665,80.78736428032828,31.611719794978804,604.6754241273079
3918,-8.429482024453137,87.12739347544735,26.69913382561676,656.2373138820693
3950,-7.5756327518142825,84.70021290942827,31.163366919496006,619.8822762174433
3952,-5.99491862422974,86.97187990194321,29.993098507561484,485.7359441143652
4006,-7.163081345541286,82.73033070740124,24.18336189731818,663.3334813118466
4025,-7.972094840420596,84.07927638452244,29.878615770568825,735.3482329811422
4030,-6.848109773326996,75.48266378139186,37.15470585149631,325.1513257169828
4036,-5.0591915978393445,89.62009337794667,25.19743374661585,573.2240712861037
4045,-5.406616208598734,87.96250289725168,26.065630373484847,570.7725197626015
4054,-6.850230387274223,91.45838815208008,13.43054584491295,1058.9994288134885
4057,-8.278325496271464,94.56463027546185,11.05393159833125,1323.1660260696651
4073,-5.882146887015097,81.32540721312624,32.95010413136216,454.9344200172828
4064,-10.490695331200186,89.92277168176531,24.96757484051108,775.5029920537002
4082,-6.5069187783037705,89.17040578044674,29.30377775531509,600.9226869828398
4088,-3.1501963773566786,91.48853044235346,23.778573363545867,632.3162965753688
4130,-6.222461625049618,92.37122290259526,24.66611891735576,792.7595665743963
4151,-7.491291695826021,78.68418756422774,34.747828959638724,496.3920557409261
4160,-7.101667966858713,89.9031862401085,11.020620238479694,616.7314527113651
4168,-8.665421408362818,93.67836653780668,27.729896812249635,627.9353572554662
4177,-7.230164767841416,85.38240571483021,31.69008116718971,685.6191018383719
4225,-5.107696523462437,89.15655107896156,22.993048435977084,691.1943816009422
4234,-6.194880167777228,91.78425095085757,23.6451905449202,490.32730032888855
4233,-5.677862598227875,86.44867098137206,21.373127138563735,718.9971275193616
4269,-8.876974058368432,92.80452010414136,20.80403371825678,726.9060831462645
4262,-8.303735773260541,91.17000917996768,28.34579543381255,944.9698935382188
4309,-5.893734039745141,82.61050474488128,30.268403504421318,362.39447998925044
4321,-6.08379142665126,91.87393405637826,21.34300970551764,404.2659061289754
4318,-13.35944501572203,84.45493072108556,24.917552695893075,794.8855637717793
4336,-5.03755633022638,84.09806750829217,30.99024494837569,277.5867829406114
4385,-8.41511733755351,77.01472038340133,34.539481351891894,455.8528820828524
4406,-6.285116444991218,80.59329848194298,32.08166821289573,533.7933988995755
4417,-7.01269867933479,82.50409764491923,26.885592388821244,400.4346058971109
4433,-5.066135474791281,80.3820450705482,24.609012715009282,433.11545399062766
4460,-6.722102539662501,88.93197481227133,27.043849559209225,467.7800976110934
4453,-8.332413458241263,86.94853642109321,22.703798185711666,553.3944082698151
4495,-7.220820546942832,92.53762751162412,20.308156346563297,704.5232671729507
4508,-5.5554193469356505,87.19094028235521,26.356949323179947,620.8246221441987
4609,-6.633509839132785,83.97064691161737,35.25851995342734,680.2124286385625
4624,-11.969415448723794,76.86118841577067,38.97860531049828,578.1604829722559
4639,-8.712652472216178,78.78936153053323,40.649446691379644,554.0390475682941
4650,-8.63293920015667,81.16333560055216,40.60782980835474,722.9958087050018
4720,-5.353819861396914,82.42556227600333,31.76027496033953,346.7892429225645
4723,-6.251221307538799,85.65520636338788,16.26440839540551,597.6971401137196
4770,-4.867904515463579,88.64083569351986,12.545591200606598,389.3644401158259
4763,-6.63323770707666,90.31588965701562,29.709005262917984,645.2083301141124
4799,-6.857052491478953,88.91835569610986,21.77652234737333,627.666584307678
4796,-8.980841787371446,80.64871440004916,31.40455328245118,561.9298905560706
4797,-7.074780045672469,90.44499941553663,16.887202706319243,745.3629089580288
4798,-7.3741790950684845,80.83785602918141,33.50545896383418,680.1383103229946
4810,-7.476087980162902,89.19481368964884,17.78569372520965,699.4434204503602
4859,-6.543612303012196,89.26068010340937,24.951048022705873,449.53605458471304
4909,-5.694396580429839,89.32853425870425,23.433025460225345,326.31134135102843
4911,-6.3832278829140705,84.82743212861578,33.39341730993676,468.6055607770977
4917,-5.790201233243806,89.46311341016558,19.774695283479634,495.68577917028574
4950,-6.21903450480977,81.77408927603688,30.822106511216433,677.1403543883348
4952,-7.076887260272542,88.98573515402538,27.216316473820605,768.5300448691136
4974,-6.7011675023409225,92.30267622803348,14.222310940103156,1010.6020614601789
4993,-7.977205601296646,84.28504379387577,24.531913901697916,311.16113101288465
5001,-9.04502295517841,78.01746963639938,38.44984056272397,642.1935957475764
5141,-5.496275886274816,93.95628775271317,30.03601512811141,710.0564806220389
5158,-8.918299009395923,90.58039965691673,21.199319089664005,1145.7356371153926
5176,-6.488560731364487,83.6618079038927,32.28840255932246,464.3605321853024
5224,-6.562834552956247,88.96088678051773,12.27219088723132,407.47470559429536
5223,-6.95958116562997,79.42866638811985,32.50369359782758,676.1139611618215
5251,-7.93542904594824,91.25108392483523,23.119137072302653,676.5047597738904
5302,-5.678350049303845,93.39563325863288,26.19395632006821,378.0065509895854
5310,-6.590164625332818,93.12506690298304,23.12354105439029,837.6711313175474
5322,-6.712372882430373,79.81097394963793,30.624478846650582,509.97228423925935
5327,-7.777389027631671,85.5024714335119,27.670749726028884,576.5772754152243
5336,-6.219366917618572,93.00662515422522,22.60160619239435,723.726535399208
5371,-5.746371523870948,92.3210663384436,28.022312713686905,730.46509650078
5370,-9.754633929596366,94.74945244420059,30.032545848782394,707.5663146584634
5423,-6.741192141341344,85.24598437398488,33.72551760564099,1039.72509078009
5444,-5.671455410726594,90.64265066960125,26.886673885235982,618.3075160539915
5450,-4.933616505148166,81.63462977290422,35.58638878996034,668.2611430806817
5481,-6.093358942912801,79.96672087109656,28.535683586255374,393.2392339526501
5506,-5.928905349385332,85.31029468294135,27.06497252893992,333.6321908331792
5493,-7.007012154574113,83.70169513675192,24.465910998367356,929.120418974518
5536,-7.627395994715698,88.57299213769372,19.374653550534887,659.2466959055655
5560,-6.819355958427877,85.92834793227219,25.456422855421117,436.0541463009089
5571,-5.825782881920986,82.58714487390672,32.865725624858605,548.3444726120947
5629,-4.916289222418527,91.93079023136953,20.246961425207388,327.55907335476974
5669,-5.375375257552605,77.9900684556209,37.852657211782315,434.3889160260527
5664,-5.718542957122281,94.1359777613352,21.384125324916873,591.1050160148992
5705,-7.454515067549892,84.3367826895773,31.101651061079032,486.6820677093243
5725,-6.90803815504114,75.0628168427947,36.19288249583687,373.21811995294604
5734,-6.490541180859509,90.11338219977686,27.470226839392794,502.64484904806426
5749,-7.083972913713751,74.87169028092788,33.71282438316525,517.782260305027
